city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
Renton,4,2.5,2550,2550,2.0,2009,2
Seattle,4,1.0,1860,1860,1.5,1901,2
Seattle,3,2.5,1420,1420,3.0,2004,2
North Bend,4,2.5,2300,2300,1.0,1955,2
Auburn,4,2.5,3170,3170,2.0,2001,2
Seattle,3,2.0,2060,1030,1.0,1929,2
Renton,4,2.5,2180,2180,2.0,1989,2
Shoreline,4,2.5,2090,1320,1.0,1965,2
Seattle,4,1.75,1470,980,1.0,1955,2
Issaquah,3,2.25,1630,1630,2.0,2005,2
Renton,6,5.0,3440,3280,2.0,2007,2
Seattle,3,1.75,1720,1220,1.0,1986,3
Shoreline,3,2.5,3370,3200,2.0,1951,3
Snoqualmie,4,3.5,2550,2550,2.0,2007,3
Redmond,3,1.75,1730,1400,1.0,1980,3
Seattle,2,1.75,1640,840,1.0,1921,3
Seattle,3,1.75,1550,1050,1.0,1927,3
Issaquah,5,2.25,2520,2520,2.0,1978,3
Sammamish,3,2.5,2180,1850,1.0,1979,3
Seattle,3,3.5,1650,1650,3.0,2010,3
Sammamish,3,2.5,1990,1990,2.0,2004,3
Bothell,3,2.5,2600,2600,2.0,1988,3
Sammamish,4,2.75,2240,2240,1.5,1976,3
Seattle,4,2.0,1680,980,1.0,1950,3
Seattle,4,2.0,2090,1790,1.5,1927,3
Auburn,4,2.75,4140,4140,2.0,2002,3
Seattle,6,3.0,4250,3020,2.5,1902,3
Seattle,3,2.75,2500,1390,1.0,1948,4
Seattle,4,1.75,2460,1450,1.5,1909,4
Seattle,4,2.75,2490,1490,2.0,1979,4
Sammamish,4,2.5,2810,2810,2.0,1997,4
Mercer Island,3,1.75,2430,1230,1.0,1949,4
Auburn,3,3.5,4500,4500,2.0,2004,4
Seattle,3,1.5,2210,2210,1.5,1916,4
Seattle,4,3.75,2690,2120,2.0,1909,4
Sammamish,4,2.5,3280,3280,2.0,2001,4
Seattle,4,2.75,3370,1920,1.0,1948,4
Seattle,3,2.5,2070,1270,1.5,1910,4
Bellevue,4,2.5,3320,2650,2.0,1977,4
Woodinville,4,2.5,3470,3470,2.0,1995,4
Seattle,5,3.0,2510,1590,1.5,1925,4
Redmond,4,2.5,3760,3760,2.0,1987,4
Bellevue,5,3.5,4210,4210,2.0,1995,4
Seattle,5,6.25,8670,6120,2.0,1965,4
Renton,2,1.0,820,820,1.0,1965,1
Auburn,4,1.75,1200,1200,1.0,1968,1
Federal Way,4,1.5,1130,1130,1.0,1970,1
Renton,2,1.0,910,910,1.0,1957,1
Shoreline,2,1.0,1100,1100,1.0,1947,1
Kent,3,1.75,1840,1500,1.0,1985,1
Maple Valley,4,2.5,1770,1770,2.0,2003,1
Des Moines,4,1.5,1490,1490,2.0,1966,1
Auburn,4,2.5,2210,1490,1.0,1990,1
Auburn,3,2.5,1970,1970,2.0,1988,1
Seattle,3,3.25,1470,1180,2.0,2008,2
Auburn,4,2.5,2490,2490,2.0,2001,2
Seattle,5,3.0,1880,1100,1.0,1997,2
Seattle,2,1.5,1070,1070,2.0,1999,2
Kent,3,2.5,1880,1880,2.0,1993,2
Seattle,2,1.0,970,970,1.0,1908,2
Renton,4,2.5,1910,1910,1.0,1963,2
Issaquah,2,2.25,1170,1170,2.0,2009,2
Enumclaw,3,2.0,2080,2080,1.0,2002,2
Redmond,3,1.0,1060,1060,1.0,1966,2
Seattle,4,2.25,2300,1340,1.5,1904,2
Seattle,3,3.25,1651,1341,2.0,2008,2
Kirkland,2,1.0,1220,1220,1.0,1947,2
Shoreline,3,1.75,1800,900,1.0,1950,2
Kirkland,3,1.75,1590,970,1.5,1938,2
Seattle,3,1.0,1180,1180,1.0,1948,2
Sammamish,3,1.0,1330,900,1.0,1984,2
Seattle,4,1.75,1890,1110,1.0,1947,2
Seattle,3,3.5,1240,1000,2.0,2008,2
Sammamish,5,3.5,3690,2540,2.0,2006,2
Seattle,3,1.0,1710,1200,1.5,1926,2
Kirkland,3,2.75,1560,1030,1.0,1972,2
Seattle,5,1.75,2460,1340,1.5,1911,2
Seattle,2,1.5,1630,890,1.0,1940,2
Shoreline,5,2.0,1940,1940,1.5,1957,2
Seattle,3,2.5,1250,1250,3.0,2005,2
Auburn,4,2.5,2470,2470,2.0,1989,2
Auburn,4,2.25,2640,2640,1.0,1986,2
Seattle,4,2.5,2140,2140,2.0,2003,2
Normandy Park,3,2.0,1769,1769,1.0,1955,2
Renton,5,2.75,2990,2990,2.0,1996,2
Renton,3,1.75,1970,1370,1.0,1976,3
Kirkland,3,1.75,1600,1600,1.0,1967,3
Bothell,3,2.5,2120,2120,2.0,1988,3
Seattle,3,1.0,1510,1510,1.5,1909,3
Seattle,4,1.75,1880,1090,1.5,1944,3
Issaquah,3,2.25,1710,1710,2.0,2004,3
Seattle,2,1.0,1510,1310,1.5,1935,3
Renton,4,2.5,3140,1770,1.0,1966,3
Seattle,5,2.0,2060,2060,2.0,1903,3
Seattle,3,2.5,1910,1530,2.5,2007,3
Seattle,4,1.75,1870,1200,2.0,1937,3
Seattle,5,2.75,2820,1450,1.0,1967,3
Sammamish,4,2.25,2180,2180,2.0,1984,3
Seattle,2,1.0,1430,1300,1.5,1929,3
Redmond,3,2.5,2480,2480,2.0,2000,3
Seattle,4,2.0,2710,1460,1.0,1919,3
Seattle,3,3.0,2340,2160,2.0,1925,3
Seattle,3,2.5,2050,1730,1.0,1956,3
Seattle,3,2.0,2460,1370,1.0,1952,3
Issaquah,3,2.5,2570,2570,2.5,2007,3
Redmond,4,2.5,2683,2683,2.0,1987,3
Redmond,4,2.5,3280,3280,2.0,1996,3
Seattle,3,2.75,1900,1410,1.0,1942,4
Mercer Island,3,1.75,2110,2110,1.0,1961,4
Redmond,3,3.5,3950,2460,1.5,1989,4
Redmond,4,2.5,3010,3010,2.0,2005,4
Seattle,4,3.25,2420,1870,1.5,1911,4
Kirkland,3,2.0,2420,1500,1.0,1979,4
Des Moines,3,3.0,2790,1600,2.0,1977,4
Sammamish,4,3.25,3960,3960,2.0,2005,4
Bellevue,4,2.25,2460,2460,1.0,1957,4
Bellevue,4,2.5,2370,2370,2.0,2003,4
Bellevue,4,2.5,3270,3270,2.0,1989,4
Seattle,0,0.0,3064,3064,3.5,1990,4
Seattle,4,2.5,3200,1860,1.5,1948,4
Sammamish,4,2.5,5730,4280,2.0,1991,4
Redmond,5,4.0,4410,4410,2.0,2006,4
Kirkland,4,3.75,4030,4030,2.0,2006,4
Seattle,3,1.0,1270,1270,1.5,1944,1
Federal Way,3,1.0,1290,1290,1.0,1976,1
Kent,3,1.0,1340,1340,1.0,1978,1
Des Moines,2,1.75,1440,1440,1.0,1978,1
Seattle,2,1.0,710,710,1.0,1943,1
SeaTac,2,1.0,930,930,1.0,1986,1
SeaTac,3,1.75,1900,950,1.0,1980,1
Covington,3,2.25,1400,1400,2.0,2012,1
Auburn,4,2.5,1930,1120,1.0,1981,1
Auburn,4,1.75,1900,1900,1.0,1958,1
Seattle,3,1.75,1840,920,1.0,1905,1
Renton,3,1.75,1180,1180,1.0,1962,1
Kent,4,2.5,2700,1560,1.0,1966,2
Seattle,3,2.0,2020,1220,1.0,1957,2
Shoreline,3,1.0,1280,1280,1.5,1947,2
Seattle,3,1.5,1210,610,1.0,1983,2
Maple Valley,4,2.5,1880,1880,2.0,2000,2
Kent,3,2.5,2070,2070,2.0,1997,2
Seattle,3,2.5,1070,720,2.0,2005,2
Auburn,2,1.5,1800,1240,1.0,1987,2
Lake Forest Park,3,1.75,1820,1230,1.0,1976,2
Seattle,3,1.5,1650,1100,1.0,1961,2
Renton,4,2.5,2220,2220,2.0,2001,2
Issaquah,3,2.25,1410,1290,2.0,2005,2
Renton,4,2.5,2540,1870,2.0,2000,2
Seattle,3,2.25,1920,1060,1.0,1921,2
Renton,4,2.5,2050,2050,2.0,2006,2
Kenmore,4,2.5,1750,1750,2.0,2009,2
Renton,4,2.5,2690,2690,2.0,1993,2
Sammamish,3,2.0,1910,1910,1.5,1971,2
Kirkland,3,1.75,1500,1500,1.0,1997,2
Kirkland,4,2.25,2010,1220,1.0,1974,2
Kent,4,2.25,2630,2630,2.0,1979,2
Burien,3,1.75,1850,1100,1.0,1919,2
Sammamish,3,2.25,1580,1200,1.0,1981,2
Issaquah,3,2.5,1580,1580,2.0,1985,2
Bellevue,3,1.75,1760,1230,1.0,1967,2
Seattle,3,1.0,1830,1430,1.5,1926,2
Seattle,4,2.75,2020,1010,1.0,1958,3
Seattle,3,1.0,1540,1200,1.5,1926,3
Maple Valley,5,3.0,3610,3610,2.0,2003,3
Seattle,3,1.75,1640,1090,1.0,1948,3
Seattle,3,3.0,1384,1144,2.0,2006,3
Redmond,3,2.5,2040,2040,2.0,1992,3
Seattle,3,1.0,1870,1580,1.5,1927,3
Kirkland,4,3.0,2440,2440,2.0,1961,3
Seattle,3,2.0,2250,1250,1.0,1925,3
Issaquah,4,2.5,2010,2010,2.0,1989,3
Sammamish,3,1.75,2350,1800,1.0,1978,3
Woodinville,5,2.75,3320,2190,2.0,1975,3
Woodinville,4,2.5,2790,2790,2.0,1989,3
Woodinville,4,2.75,3650,3650,1.5,1978,3
Seattle,3,2.0,2910,1920,2.0,1900,4
Bellevue,5,2.5,3210,1830,1.0,1968,4
Seattle,3,2.5,2300,1510,1.5,1930,4
Burien,4,2.5,2420,1700,1.0,1958,4
Seattle,4,2.0,3140,1940,1.0,1939,4
Issaquah,4,3.5,3200,2670,2.0,2007,4
Seattle,3,2.5,2860,2860,2.0,2000,4
Bellevue,3,1.75,1980,1320,1.0,1952,4
Seattle,5,3.5,2320,1720,2.0,1926,4
Sammamish,4,2.5,4120,4120,2.0,1997,4
Sammamish,4,2.5,3670,3670,2.0,1999,4
Mercer Island,4,2.25,2770,2770,2.0,1974,4
Seattle,5,2.5,2350,2350,2.0,1993,4
Redmond,4,2.5,3770,3770,2.0,1989,4
Mercer Island,5,2.75,3100,1660,1.0,1973,4
Seattle,4,2.5,2750,1960,2.0,1905,4
Seattle,5,1.5,2540,2340,2.0,1954,4
Seattle,5,2.25,4200,2910,2.5,1906,4
Shoreline,3,2.5,4310,2510,1.5,1982,4
Seattle,3,1.75,1430,1430,1.0,1950,2
Kirkland,3,2.0,1510,1070,1.0,1972,2
Seattle,2,1.0,1980,1090,1.0,1923,2
Kenmore,4,2.75,2360,2360,2.0,2008,3
Seattle,3,2.5,1930,1930,2.0,2005,3
Issaquah,4,2.75,2450,2450,2.0,2010,4
Issaquah,5,2.75,2920,1660,1.0,1968,4
Woodinville,4,2.5,2960,2960,2.0,1985,4
Tukwila,3,2.5,1890,1730,2.0,2002,1
Bellevue,3,1.0,1110,1110,1.0,1957,2
Bellevue,5,3.0,2430,1370,1.0,1957,3
Seattle,3,2.0,1900,950,1.0,1940,3
Bellevue,3,1.75,2140,1290,1.0,1953,3
Issaquah,4,2.5,2700,2700,2.0,1990,3
Burien,3,1.5,1230,1230,1.0,1949,1
Seattle,2,1.0,760,760,1.5,1947,1
Auburn,3,1.5,1220,1220,1.0,1973,1
Auburn,3,1.75,1070,1070,1.0,1957,1
Federal Way,4,2.5,2240,1370,1.0,1988,1
Tukwila,3,2.0,1410,1410,1.0,1940,1
Kent,3,1.75,1400,1400,1.0,1957,1
Seattle,2,1.5,880,880,2.0,1999,1
Seattle,2,1.0,1200,980,1.0,1943,1
Renton,3,1.0,1000,1000,1.0,1969,1
Seattle,3,1.0,1100,1100,1.0,1957,1
Kent,3,2.5,1880,1880,2.0,2009,1
Federal Way,4,1.75,1960,1960,1.0,1967,1
Burien,3,1.75,1770,1030,1.0,1960,1
Seattle,5,3.0,1940,1200,1.0,2007,2
Renton,4,2.0,1810,1110,1.0,1967,2
North Bend,3,1.75,1150,1150,1.0,1979,2
Seattle,3,2.25,1200,1200,3.0,2005,2
Seattle,1,1.0,960,760,1.0,1908,2
Seattle,3,1.5,2040,1340,1.0,1957,2
Seattle,3,2.5,1212,1212,3.0,2004,2
Seattle,4,1.75,1580,1130,1.0,1947,2
Renton,4,2.25,1760,1760,2.0,1987,2
Issaquah,2,1.75,1210,1210,2.0,2014,2
Bothell,3,2.0,1530,1530,1.0,1977,2
Seattle,3,1.0,1770,1140,1.5,1926,2
Bothell,4,2.0,2400,2400,2.0,1913,2
Seattle,4,2.0,1240,1040,1.0,1908,2
Seattle,5,2.5,2760,1600,1.0,1960,2
Maple Valley,4,2.5,2960,2960,2.0,2006,2
Vashon,3,2.0,1590,1590,2.0,2000,2
Seattle,4,1.75,1690,870,1.0,1984,2
Vashon,2,1.0,830,830,1.0,1928,2
Kirkland,4,2.0,1580,1580,1.0,1953,2
Seattle,4,2.0,1800,1000,1.0,1923,2
Seattle,4,3.0,2360,1460,1.0,1960,2
Bellevue,4,1.5,1220,1220,1.0,1965,2
Renton,5,2.5,2340,2340,2.0,2009,2
Seattle,3,2.0,1980,1980,3.0,2007,2
Duvall,3,2.5,2300,2300,2.0,2003,2
Vashon,3,1.75,1890,1890,1.5,1976,2
Seattle,6,2.25,3550,2960,1.0,1948,2
Redmond,2,1.5,1310,1310,1.5,1970,2
Seattle,3,1.75,1550,860,1.0,1949,2
Burien,3,2.25,2670,1640,1.0,1966,2
Seattle,3,2.5,1350,1120,2.0,2007,2
Seattle,3,1.5,1760,1160,1.0,1958,2
Bellevue,3,1.5,1510,1510,1.0,1956,2
Duvall,5,2.5,2570,2570,2.0,2006,2
Redmond,3,1.75,1750,1470,1.0,1968,2
Newcastle,4,2.75,2280,2280,1.0,1960,3
Mercer Island,3,1.75,1540,770,1.0,1947,3
Redmond,4,2.5,1740,1220,1.0,1976,3
Seattle,3,2.25,1420,1420,3.0,2006,3
Issaquah,4,2.5,2050,2050,2.0,1988,3
Issaquah,3,2.5,1700,1700,2.0,2005,3
Renton,4,2.5,2650,2650,2.0,2014,3
Kirkland,3,2.5,1940,1440,1.0,1975,3
Sammamish,4,2.25,2170,2170,2.0,1987,3
Issaquah,4,2.5,2120,2120,2.0,1985,3
Kenmore,4,2.5,2440,2440,2.0,2002,3
Redmond,5,2.5,2640,2640,2.0,2003,3
Redmond,3,2.5,2110,2110,2.0,2005,3
Seattle,4,2.75,2610,1910,3.0,1910,3
Seattle,6,1.75,1840,1060,1.0,1900,3
Seattle,3,1.5,1720,1720,2.0,1907,3
Redmond,4,2.75,2500,2500,2.0,2010,3
Seattle,4,3.5,2840,2840,3.0,2008,3
Seattle,2,1.75,1600,850,1.0,1918,3
Sammamish,4,3.5,2690,2690,2.0,2002,3
Bothell,4,3.25,3430,3430,2.0,2014,4
Sammamish,3,2.5,3100,3100,2.0,2002,4
Seattle,3,1.75,1990,1100,1.0,1939,4
Renton,3,2.75,2670,1720,1.0,2013,4
Bellevue,4,2.5,2810,1710,1.0,1973,4
Seattle,4,1.5,1890,1890,1.5,1919,4
Kirkland,4,3.5,4140,3160,2.0,2003,4
Sammamish,4,3.25,3450,3450,2.0,2014,4
Woodinville,4,2.5,3190,3190,2.0,1990,4
Kirkland,4,3.5,3290,2360,2.0,2006,4
Kirkland,4,2.5,3030,3030,2.0,2003,4
Bellevue,4,1.5,2220,1490,1.0,1954,4
Bellevue,4,3.5,3280,3280,2.0,2007,4
Sammamish,4,2.75,2800,2800,2.0,1992,4
Seattle,4,4.0,3530,2630,2.0,1958,4
SeaTac,4,1.0,1920,1220,1.0,1966,1
Renton,3,1.0,1140,1140,1.0,1943,1
Federal Way,3,1.5,1180,1180,1.0,1977,1
Federal Way,3,1.5,1430,820,1.0,1980,1
Federal Way,4,1.75,1740,1180,1.0,1978,1
Auburn,3,1.0,1320,1320,1.0,1967,1
Seattle,1,1.0,930,930,1.0,1948,1
Federal Way,3,2.25,2110,1360,1.0,1973,1
Renton,3,2.0,1410,1410,1.0,1983,1
Seattle,3,2.0,1570,1050,2.0,1971,1
Auburn,3,1.75,1190,1190,1.0,1968,1
Kent,3,1.75,1280,1280,1.5,1988,1
Covington,3,1.75,1370,1370,1.0,1982,1
Maple Valley,4,2.5,1800,1800,2.0,1998,1
Auburn,3,1.75,1160,1160,1.0,1998,1
Kirkland,2,1.5,1088,1088,2.0,1983,1
Seattle,3,1.5,880,880,1.0,1945,1
Kent,3,1.75,1700,1700,1.0,1987,1
Kent,3,2.0,1870,1270,1.0,1986,1
Tukwila,3,1.75,1440,1090,1.0,1958,1
Lake Forest Park,3,1.5,1270,1150,1.0,1948,1
Renton,2,1.5,1480,940,1.0,1978,1
Auburn,3,2.0,1380,1380,1.0,1989,1
Kent,4,2.25,1930,1360,1.0,1988,1
Kent,3,2.5,1413,1413,2.0,2011,1
Kent,4,2.5,1660,1660,2.0,1994,1
Seattle,4,2.0,1870,1870,1.5,1956,2
Seattle,3,1.0,860,860,1.5,1927,2
Federal Way,4,2.5,2610,2610,2.0,1987,2
Kenmore,3,1.75,1160,1160,1.0,1976,2
Auburn,3,2.5,3040,3040,2.0,2003,2
Seattle,3,2.5,1270,1270,2.0,2004,2
Renton,3,2.5,1530,1270,1.0,1993,2
Seattle,2,1.0,740,740,1.0,1948,2
Renton,4,2.75,2250,1480,1.0,1975,2
Shoreline,3,2.5,1680,1680,2.0,2007,2
Seattle,3,2.0,1380,1380,3.0,2013,2
Seattle,2,2.5,1260,1260,3.0,2005,2
Seattle,5,3.5,2800,2800,2.0,1995,2
Kent,4,2.5,2150,2150,2.0,1991,2
Kent,4,2.5,2210,2210,2.0,1993,2
Snoqualmie,2,2.5,1620,1620,2.0,2008,2
Duvall,3,2.25,2140,2140,2.0,1986,2
Kirkland,3,1.5,1450,1010,1.0,1968,2
Lake Forest Park,3,1.5,1880,1480,1.0,1968,2
Newcastle,4,2.0,1610,1610,1.0,1967,2
SeaTac,3,2.5,2890,2890,2.0,2000,2
Issaquah,3,2.0,1730,1370,1.0,1978,2
Seattle,3,2.25,1230,1080,2.0,2009,2
Seattle,2,1.0,1230,1230,1.0,1928,2
Kirkland,4,2.0,1450,1450,1.5,1962,2
Snoqualmie,4,2.5,2470,2470,2.0,1999,2
Issaquah,4,2.5,1670,1670,2.0,2005,2
Seattle,4,1.5,1550,1350,1.5,1918,2
Renton,4,2.5,3250,3250,2.0,2009,2
Vashon,2,2.0,1494,1494,2.0,1943,2
Seattle,2,2.75,1430,995,2.0,2006,2
Renton,4,2.5,2340,2340,2.0,2001,2
Seattle,3,2.5,1180,1180,3.0,2010,2
Seattle,3,2.25,2280,1150,1.0,1985,2
Snoqualmie,3,2.75,2300,2300,2.0,2008,2
Kirkland,4,1.75,2030,2030,1.5,1975,2
Renton,3,2.5,2970,2970,2.0,1998,2
Shoreline,3,1.75,2180,1480,1.0,1961,3
Renton,4,2.75,3070,3070,2.0,2006,3
Issaquah,4,2.25,1990,1990,2.0,1991,3
Bellevue,3,2.75,2750,1810,1.0,1978,3
Redmond,4,2.25,2030,1590,1.0,1967,3
Seattle,4,1.0,1720,1200,1.5,1926,3
Seattle,2,2.5,1380,1380,3.0,2006,3
Vashon,3,1.75,2240,2240,2.0,1976,3
Seattle,3,2.0,2340,1170,1.0,1971,3
Seattle,5,1.0,1710,1320,1.5,1926,3
Bellevue,5,2.0,2700,1540,1.0,1962,3
Redmond,3,2.25,2010,2010,2.0,1985,3
Woodinville,3,2.5,2830,2830,2.0,1989,3
Sammamish,4,2.5,2490,2490,2.0,1983,3
Kirkland,3,2.5,2670,2670,2.0,2003,3
Seattle,3,2.0,1880,1030,1.0,1927,3
Woodinville,4,2.75,2700,2700,2.0,1976,3
Seattle,6,1.75,2740,1370,1.0,1953,3
Kirkland,4,2.5,2650,2110,2.0,1988,4
Redmond,4,2.75,2630,2630,2.0,1994,4
Redmond,3,2.5,2300,2300,1.0,2005,4
Newcastle,4,2.5,2940,2940,2.0,1991,4
Bellevue,3,2.5,2590,2590,2.0,1988,4
Seattle,7,4.25,3670,2800,2.0,1964,4
Redmond,5,2.75,3010,3010,2.0,1994,4
Woodinville,4,3.5,3860,3120,2.0,1996,4
Redmond,4,2.75,3150,2480,1.0,1986,4
Bellevue,5,3.5,3130,2570,2.0,2014,4
Seattle,4,4.25,3010,1940,2.0,1951,4
Seattle,3,1.75,2960,1480,1.0,1952,4
Seattle,4,3.5,2650,2060,2.0,2001,4
Newcastle,4,3.5,4170,4170,2.0,2004,4
Sammamish,4,4.0,4420,4420,2.0,2013,4
Seattle,3,3.5,4360,2960,2.0,2008,4
Seattle,6,1.0,1370,1120,1.5,1931,1
Seattle,2,1.0,660,660,1.0,1915,1
Seattle,1,1.0,720,720,1.0,1914,1
Tukwila,3,1.0,1080,1080,1.5,1900,1
Tukwila,2,1.5,1820,1820,2.0,1921,1
Renton,2,1.0,1080,1080,1.0,1958,1
Federal Way,3,1.75,1670,1170,1.0,1978,1
Seattle,2,1.0,670,670,1.0,1942,1
Maple Valley,3,2.0,1260,1260,1.0,1986,1
Renton,3,1.0,1130,1130,1.0,1958,1
Normandy Park,2,1.0,790,790,1.0,1942,1
SeaTac,4,2.0,2030,1430,1.5,1947,1
Kent,4,1.75,1820,1080,1.0,1980,1
Covington,4,1.75,1770,1050,1.0,1983,1
Auburn,4,1.5,2050,1050,1.0,1963,1
Auburn,3,2.25,1584,1584,2.0,2012,1
Federal Way,3,2.25,1720,1320,1.0,1969,1
Kent,5,1.75,2150,1460,1.0,1970,1
Renton,3,1.0,990,990,1.0,1960,1
Federal Way,4,2.5,2570,1590,1.0,1979,1
Des Moines,3,2.0,1380,1380,1.0,1966,1
Renton,5,2.5,2220,1110,1.0,1968,1
Seattle,3,2.5,1700,1700,2.0,2000,2
Kirkland,3,1.0,910,910,1.0,1971,2
Seattle,3,2.25,1490,1220,2.0,2010,2
Federal Way,4,2.5,2660,1740,1.0,1960,2
Maple Valley,3,2.5,1730,1730,2.0,1993,2
Maple Valley,4,2.5,1820,1820,2.0,1994,2
Renton,3,2.75,2200,1280,1.0,1977,2
Duvall,3,2.5,1600,1600,2.0,2005,2
Seattle,2,1.0,940,940,1.0,1910,2
Seattle,2,1.0,1100,1100,1.0,1954,2
Renton,3,2.5,2640,1680,2.0,1991,2
Shoreline,3,2.5,1950,1950,2.0,1997,2
Seattle,3,3.25,1689,1689,3.0,2008,2
Seattle,3,1.75,1050,950,1.5,1928,2
Normandy Park,5,2.5,3600,2410,1.0,1968,2
Burien,4,2.0,1970,1820,1.0,1961,2
Renton,4,2.5,2020,2020,2.0,2010,2
Seattle,3,1.75,1270,1270,1.0,1952,2
Kirkland,3,2.0,1670,1170,1.0,1972,2
Snoqualmie,4,2.5,2410,2410,2.0,2000,2
Seattle,3,1.75,1180,760,1.0,1928,2
North Bend,3,1.75,1180,1180,1.0,1981,2
Renton,3,3.25,2770,1980,2.0,2006,2
Seattle,3,1.75,1510,860,1.0,1925,2
Shoreline,5,2.5,2240,1140,1.0,1966,2
Seattle,3,1.75,1700,1230,1.0,1977,2
Seattle,3,3.25,1380,1380,3.0,2008,2
Seattle,2,2.5,1430,1410,3.0,2008,2
Auburn,5,3.25,3850,3030,2.0,2002,3
Redmond,4,1.75,1770,1170,1.0,1968,3
Seattle,3,3.5,1360,1040,2.0,2007,3
Duvall,4,2.5,2920,2920,2.0,2003,3
Kenmore,4,2.5,2610,2610,2.0,2008,3
Redmond,3,2.0,2120,2120,2.0,2003,3
Snoqualmie,3,1.75,1930,1930,1.0,2013,3
Woodinville,4,2.5,2050,2050,2.0,1989,3
Shoreline,3,1.75,1970,1420,1.0,1963,3
Seattle,3,2.5,1560,1360,1.5,1936,3
Lake Forest Park,5,2.25,1870,1170,1.0,1961,3
Seattle,3,1.75,2040,1120,1.0,1958,3
Duvall,5,3.0,2795,2795,2.0,1996,3
Redmond,2,2.0,1690,1690,1.0,2004,3
Kent,5,3.5,3260,3260,2.0,1969,3
Issaquah,4,2.5,2290,2290,2.0,1996,3
Issaquah,5,3.25,3160,3160,2.0,1980,3
Renton,4,2.5,3250,3250,2.0,2008,3
Sammamish,5,2.25,2480,2480,2.0,1978,3
Issaquah,4,2.5,1910,1910,2.0,1987,3
Kenmore,4,2.5,2807,2807,2.0,1996,3
Seattle,5,2.75,2870,1650,1.0,1976,3
Bellevue,3,1.75,2920,1620,1.0,1981,3
Sammamish,3,3.0,3450,3450,2.0,1983,3
Sammamish,4,2.5,3210,3210,2.0,1995,3
Mercer Island,4,1.75,1980,990,1.0,1948,4
Sammamish,3,2.5,2420,1690,2.0,1989,4
Sammamish,4,2.5,2790,2790,2.0,1997,4
Redmond,3,2.25,2910,2910,2.0,1990,4
Kirkland,4,2.5,3170,3170,2.0,2008,4
Seattle,4,3.5,3810,3810,2.0,1938,4
Kirkland,5,3.5,3450,2350,1.0,1972,4
Seattle,4,2.25,2190,1800,2.0,1918,4
Sammamish,4,2.5,3640,3640,2.0,1999,4
Redmond,4,2.5,4270,2680,1.0,1991,4
Bellevue,4,3.5,4680,3360,2.0,2005,4
Bellevue,4,3.25,4290,2690,1.0,1997,4
Kirkland,4,2.75,3870,3870,2.0,2005,4
Fall City,6,5.0,6050,6050,2.0,2001,4
Auburn,3,2.0,1340,920,1.0,1912,1
Enumclaw,3,1.0,1330,1330,2.0,1905,1
Tukwila,3,1.5,1140,1140,1.0,1960,1
Auburn,3,2.0,1440,1440,1.0,1983,1
Kent,3,1.75,1150,1150,1.0,1983,1
Federal Way,3,2.25,1640,1140,1.0,1984,1
Federal Way,3,1.0,1320,880,1.0,1961,1
Auburn,3,1.75,1750,1750,2.0,1976,1
Des Moines,4,2.0,1790,1670,1.0,1960,1
Seattle,4,2.0,2080,1040,1.0,1950,1
Kent,3,1.0,1050,1050,1.0,1959,1
Federal Way,3,1.75,1840,1840,1.0,1966,1
Renton,4,1.75,1530,1530,1.5,1968,1
Federal Way,3,1.75,1860,1860,1.0,1971,1
Seattle,3,1.0,1210,1210,1.5,1901,1
SeaTac,3,2.0,1300,1300,1.5,1933,1
Covington,4,2.5,3490,3490,2.0,2003,1
Seattle,3,2.5,1800,1800,2.0,2011,2
Carnation,4,1.5,1220,1220,1.0,1980,2
Seattle,3,1.75,1900,1070,1.5,1903,2
Seattle,2,1.0,920,920,1.0,1939,2
Seattle,4,1.0,1940,1940,1.5,1947,2
Federal Way,3,2.5,2238,2238,2.0,2011,2
Renton,3,2.5,2480,2480,2.0,2004,2
Renton,3,2.0,2140,1480,1.0,1966,2
Kirkland,2,1.0,1620,850,1.0,1921,2
Shoreline,3,2.0,1430,1430,1.0,1945,2
Maple Valley,4,2.5,2850,2850,2.0,2004,2
Seattle,3,2.5,2160,1260,1.5,1909,2
Kenmore,4,2.25,2150,1090,1.0,1963,2
Kent,3,1.75,2310,1630,1.0,1978,2
Kirkland,3,2.25,1600,1090,1.0,1979,2
Issaquah,4,1.0,1980,1430,1.0,1968,2
Seattle,4,2.25,1820,1320,1.5,1930,2
Seattle,2,1.0,1260,1260,1.0,1947,2
Lake Forest Park,6,2.75,2520,1320,1.0,1962,2
Renton,4,2.5,2640,2640,2.0,1987,2
Seattle,3,1.75,1310,1310,1.0,1948,2
Redmond,2,1.75,1440,1440,1.0,2005,2
Redmond,3,1.75,1170,1170,1.0,1968,2
Renton,4,2.5,2400,2400,2.0,2003,2
Kirkland,3,1.75,1610,1610,1.0,1955,2
Seattle,3,1.0,1320,1320,2.0,1900,2
Maple Valley,3,2.0,1730,1730,1.0,1997,2
Kirkland,3,2.25,1820,1820,2.0,1983,2
Seattle,3,1.75,1840,920,1.0,1910,2
Carnation,3,2.5,2840,1870,1.0,1994,3
Issaquah,3,2.5,1610,1610,2.0,1996,3
Seattle,2,1.0,1570,1150,1.0,1952,3
Seattle,3,2.5,2120,2120,2.0,2003,3
Lake Forest Park,4,2.5,2610,2610,2.0,1998,3
Normandy Park,3,2.75,2020,1270,1.0,1954,3
Burien,5,3.75,3090,3090,2.0,2014,3
